90638	42077	02369633-v
75594	4481	09854915-n
10997	58528	01799457-a
75595	7362	02911485-n
10998	72941	02831031-a
90639	83712	01934976-v
75592	108294	04121426-n
10999	8895	14108713-n
22529	116732	00329230-r
75593	84231	03356858-n
22528	49700	05084733-n
75598	61740	14466122-n
90634	63269	01059189-n
90635	41670	00607977-a
22527	36668	11263337-n
75599	90525	07231840-n
22526	105017	00092275-a
90636	41341	02230480-n
75596	98096	14584502-n
90637	44412	09944763-n
75597	60075	02126465-n
22525	96942	13727841-n
22524	110789	03107801-a
10990	99774	06600139-n
22523	48191	01623027-v
22522	57292	15236176-n
10991	87311	08234628-n
10992	59926	08547300-n
22521	92831	08739512-n
22520	37829	11365516-n
10993	66600	09708889-n
10994	62353	00176383-r
10995	22800	01840366-a
10996	73950	01954128-a
90642	2984	13911872-n
90641	7931	02577061-a
90644	15412	00811661-n
90643	113136	01171563-v
75591	94973	02724308-a
75590	33789	14072423-n
90640	72065	11151436-n
22519	115617	00630727-a
90629	24620	03589093-n
75581	81225	05081802-n
75582	105701	04293902-n
22518	10577	00178575-a
75583	29362	07930062-n
90627	68235	01724947-n
75584	43619	03704376-n
90628	13321	01899238-n
90625	115618	00083817-r
75585	18234	03510244-n
22515	63564	03402511-n
22514	105971	09957523-n
90626	13015	09424642-n
75586	81941	02174305-a
90623	115102	07420435-n
75587	112894	12846690-n
22517	85620	01919042-v
90624	46249	00350384-a
22516	95844	07607967-n
75588	96626	07233542-n
75589	110455	10054875-n
22511	46858	04554211-n
22510	42709	04419868-n
22513	63419	14357853-n
22512	13666	14894481-n
3	9537	05010801-n
2	32515	10097262-n
1	67080	14369530-n
7	86954	03859608-n
6	43270	00653388-n
5	5720	09400037-n
4	64576	00217563-a
90633	17378	14395597-n
90632	35909	05986395-n
90631	38878	06049673-n
9	25429	15231031-n
90630	112179	00145995-a
8	85443	14573099-n
75580	23224	10964052-n
75576	8656	14395018-n
90656	50755	01457710-v
22506	90526	12327407-n
22505	26062	00812170-a
75577	79039	01354285-v
90657	80887	14273084-n
75574	3026	07527352-n
22504	12762	01912893-v
90658	73424	04155068-n
22503	53612	01440139-v
90659	59628	00091124-v
75575	86776	09091668-n
75572	51139	09325395-n
22509	34429	11142155-n
75573	96781	02620863-a
75570	40303	07100522-n
22508	19325	03154446-n
75571	12548	01195299-v
22507	14168	11873396-n
22502	107913	07687381-n
22501	59629	10196725-n
22500	14329	05400445-n
75578	19093	01894758-a
75579	96627	01595697-v
90660	37931	09757944-n
90662	33710	01029671-n
90661	86777	11446459-n
90664	82440	00513248-r
90663	45098	08418103-n
90666	19983	00560893-v
90665	44298	02426634-n
90647	47967	08565894-n
75563	28810	09220046-n
75564	7990	03894379-n
90648	79852	00627196-n
75565	32978	05020019-n
90645	82441	13880994-n
75566	12210	02723595-n
90646	59781	00131791-n
75560	107261	11722342-n
75561	18764	02526925-a
90649	56298	13541798-n
75562	84567	08523217-n
75567	110790	06144762-n
75568	100447	01286093-a
75569	89092	01099231-n
90651	99056	01737698-a
90650	85107	02353844-v
90655	112549	04229107-n
90654	56433	03905208-n
90653	30729	06510478-n
90652	15760	02974003-n
35710	19254	07503260-n
35711	72416	02094203-a
35712	104610	06751742-n
35713	60540	02412059-a
10950	98434	01953191-v
10952	79699	13713983-n
10951	12799	04915866-n
10954	99943	00082842-r
35718	77996	00519823-a
35719	7806	08877382-n
10953	73951	04229007-n
10956	38780	03553486-n
10955	91397	02144988-a
35714	15251	00698088-a
10958	86457	10968835-n
35715	99358	03640589-n
10957	9492	13836550-n
35716	103864	07234657-n
35717	115888	01931034-a
10959	50205	13680146-n
112800	9863	01192510-v
112801	58041	01311067-a
90600	93385	02835271-n
112808	20493	02209755-n
112809	16853	02316707-n
112806	41979	12680652-n
112807	55013	07934032-n
112804	117430	00044076-r
112805	6515	05298988-n
112802	91398	01274945-a
112803	58364	06066267-n
35701	85275	13462084-n
35702	45099	00821752-n
35700	90011	00072281-a
10963	85276	04373428-n
10962	57157	07209533-n
10961	31905	02275629-a
10960	79371	04131610-n
10967	862	01328702-n
35709	18698	15233778-n
10966	90167	13917094-n
35707	102703	01996895-n
10965	85797	02450814-a
10964	31252	01308736-a
35708	79700	02112891-v
35705	33290	01864634-v
35706	108815	02366884-v
35703	44085	00794614-n
10969	34177	03122295-n
10968	22571	04413723-n
35704	61895	13231298-n
10972	42286	01165919-n
10971	70433	03978130-n
10974	18273	12916511-n
10973	95142	02471264-a
10970	23225	00856578-v
90613	81576	00555780-v
90612	103731	01371651-v
10979	78192	00058929-a
90615	44983	02515560-n
90614	80727	04375615-n
10976	41342	00505114-r
90617	77677	10159045-n
90616	39828	01114458-n
10975	63565	11191251-n
90619	108152	06768394-n
10978	92100	11934616-n
10977	35985	07462269-n
90618	82841	01938454-n
90620	57895	11614250-n
90621	2417	02199590-v
90622	70600	02535759-n
10985	16106	12000609-n
10984	12455	00964569-n
10983	79701	01242537-v
90609	48319	05600431-n
10982	54618	02918330-n
10981	70772	01150205-a
10980	56738	13449319-n
90604	35591	01265325-n
90603	15974	05656537-n
90602	2976	01224031-n
90601	32435	00267452-a
